season,PLAYER_ID,Jersey
2017,202066,0
2018,202066,0
2019,202066,0
2020,202066,0
2013,202068,0
2015,202068,0
2013,202070,0
2012,202075,0
2012,202077,0
2012,202083,0
2013,202083,0
2014,202083,0
2015,202083,0
2016,202083,0
2017,202083,0
2018,202083,0
2019,202083,0
2020,202083,0
2012,202087,0
2013,202087,0
2014,202087,0
2015,202087,0
2016,202087,0
2012,202091,0
2013,202091,0
2014,202091,0
2015,202091,0
2012,202130,0
2013,202130,0
2014,202130,0
2015,202130,0
2016,202130,0
2012,202148,0
2013,202148,0
2012,202178,0
2014,202197,0
2012,202221,0
2012,202227,0
2012,202322,0
2013,202322,0
2014,202322,0
2015,202322,1
2016,202322,0
2017,202322,0
2018,202322,0
2020,202322,0
2012,202323,0
2013,202323,0
2014,202323,0
2015,202323,0
2016,202323,0
2017,202323,0
2018,202323,0
2019,202323,0
2012,202324,0
2013,202324,0
2014,202324,0
2015,202324,0
2016,202324,0
2017,202324,0
2018,202324,0
2019,202324,0
2020,202324,0
2012,202325,0
2013,202325,0
2014,202325,0
2015,202325,0
2016,202325,0
2017,202325,0
2018,202325,0
2012,202326,0
2013,202326,0
2014,202326,0
2015,202326,0
2016,202326,0
2017,202326,0
2018,202326,0
2020,202326,0
2012,202327,0
2013,202327,0
2014,202327,0
2017,202327,0
2018,202327,0
2012,202328,0
2013,202328,0
2014,202328,0
2015,202328,0
2016,202328,0
2017,202328,0
2018,202328,0
2012,202329,0
2013,202329,0
2014,202329,0
2015,202329,0
2016,202329,0
2017,202329,0
2018,202329,0
2019,202329,0
2012,202330,0
2013,202330,0
2014,202330,0
2015,202330,0
2016,202330,0
2017,202330,0
2018,202330,0
2019,202330,0
2020,202330,0
2012,202331,0
2013,202331,0
2015,202331,0
2016,202331,0
2017,202331,0
2018,202331,0
2019,202331,1
2020,202331,0
2012,202332,0
2013,202332,0
2014,202332,0
2015,202332,0
2016,202332,0
2017,202332,0
2012,202333,0
2013,202333,0
2014,202333,0
2012,202334,0
2013,202334,0
2014,202334,0
2015,202334,0
2016,202334,0
2017,202334,0
2018,202334,0
2019,202334,0
2020,202334,0
2012,202335,0
2013,202335,0
2014,202335,0
2015,202335,0
2016,202335,0
2017,202335,0
2018,202335,0
2019,202335,0
2020,202335,0
2012,202336,0
2013,202336,0
2014,202336,0
2012,202337,0
2014,202337,0
2015,202337,0
2016,202337,0
2017,202337,0
2012,202338,0
2013,202338,0
2014,202338,0
2015,202338,0
2016,202338,0
2012,202339,0
2013,202339,0
2014,202339,0
2015,202339,0
2016,202339,0
2017,202339,0
2018,202339,0
2019,202339,0
2020,202339,0
2012,202340,0
2013,202340,0
2014,202340,0
2015,202340,0
2016,202340,0
2017,202340,0
2018,202340,0
2019,202340,0
2020,202340,0
2012,202341,0
2013,202341,0
2015,202341,0
2013,202343,0
2014,202343,0
2015,202343,0
2012,202344,0
2013,202344,0
2014,202344,0
2015,202344,0
2016,202344,0
2017,202344,0
2012,202345,0
2013,202345,0
2014,202345,0
